departmentCode,workbookName,normalizedName,category,domesticOrOverseas,disposition,rollupParentCode,mergedIntoCode,sourceSheets,hasDedicatedDetailSheet,appearsInSummarySheet,isStage2ATestDepartment,isExistingRealDepartment,exclusionReason
"12211","行銷技術(原產品行銷部)","行銷技術","S","domestic","BUDGET_OWNER","12201",,"銷-經營拓展行銷技術","true","true","false","false",
"12221","行銷支援部(原行銷技術部)","行銷支援部","S","domestic","BUDGET_OWNER","12201",,"銷-經營拓展行銷支援","true","true","false","false",
"12231","SI特販部(無)","SI特販部","S","domestic","INACTIVE",,,"","false","false","false","false","Marked '(無)'; no 2025 sheet or formula of any kind."
"12301","海外營業處","海外營業處","S","overseas","PARENT_ONLY",,,"","false","true","false","false",
"12311","營業一部","營業一部","S","overseas","BUDGET_OWNER","12301",,"銷-海外營一","true","true","false","false",
"12321","營業二部","營業二部","S","overseas","BUDGET_OWNER","12301",,"銷-海外營二","true","true","false","false",
"12331","海外行銷部(無)","海外行銷部","S","overseas","INACTIVE","12301",,"銷-海外行銷(x)","true","true","false","false","原始 ERP 部門名稱明確標示「無」，不建立預算輸入表，不列入進度分母。"
"12401","營業企劃處","營業企劃處","S","domestic","PARENT_ONLY",,,"","false","false","false","false","上層彙總單位，下屬12411成品企劃部及12421客戶服務部分別編製預算。"
"12411","成品企劃部","成品企劃部","S","domestic","BUDGET_OWNER","12401",,"銷-營業促進成品企劃","true","true","false","false",
"12421","客戶服務部","客戶服務部","S","domestic","BUDGET_OWNER","12401",,"銷-營業促進客戶服務","true","true","false","false",
"12501","教研營業處","教研營業處","S","domestic","INACTIVE",,,"","false","false","false","false","人工決定刪除／停用，不建立預算輸入表、不顯示於可選部門、不建立BudgetVersion、不列入預算進度分母。"
"13001","第二營業本部","第二營業本部","S","domestic","PARENT_ONLY",,,"","false","false","false","false","人工確認為上層彙總單位，不建立預算輸入表，不列入預算編製進度分母。"
"13101","南亞暨ODM營業處","南亞暨ODM營業處","S","domestic","PARENT_ONLY","13001",,"","false","false","false","false",
"13111","ODM營業部","ODM營業部","S","domestic","BUDGET_OWNER","13101",,"銷-南亞ODM營業","true","true","false","false",
"13201","安防事業處","安防事業處","S","domestic","PARENT_ONLY",,,"","false","false","false","false",
"13211","營業部","營業部（安防事業處）","S","domestic","BUDGET_OWNER","13201",,"銷-安防營業;生-影安","true","true","false","false",
"13221","營業技術部","營業技術部（安防事業處）","S","domestic","BUDGET_OWNER","13201",,"銷-安防營業技術","true","true","false","false",
"14001","第三營業本部","第三營業本部","S","domestic","PARENT_ONLY",,,"","false","false","false","false","人工確認為上層彙總單位，不建立預算輸入表，不列入預算編製進度分母。"
"15001","台灣特販本部","台灣特販本部","S","domestic","PARENT_ONLY",,,"","false","false","false","false",
"15011","台灣特販部","台灣特販部","S","domestic","BUDGET_OWNER","15001",,"銷-台灣特販","true","true","false","false",
"20001","GWK","GWK","S","overseas","BUDGET_OWNER",,,"銷-GWK","true","true","true","false",
"30001","GWSEA","GWSEA","S","overseas","BUDGET_OWNER",,,"銷-GWSEA","true","true","false","false",
"40001","固緯上海","固緯上海","S","overseas","BUDGET_OWNER",,,"銷-GWH","true","true","false","false",
"50001","GWU","GWU","S","overseas","BUDGET_OWNER",,,"銷-GWU","true","true","false","false",
"60001","GWE","GWE","S","overseas","BUDGET_OWNER",,,"銷-GWE","true","true","false","false",
"70001","GWI","GWI","S","overseas","BUDGET_OWNER",,,"銷-南亞GWI","true","true","false","false",
"80001","TEXIO","TEXIO","S","overseas","BUDGET_OWNER",,,"銷-TTC","true","true","false","false",
"90001","大陸環測事業處(原GWA)","大陸環測事業處","S","overseas","BUDGET_OWNER",,,"銷-GWA","true","true","false","false",
"A0004","蘇州廠","蘇州廠","S","overseas","BUDGET_OWNER",,,"銷-GWS","true","true","false","false",
"A1004","蘇州品保處(無)","蘇州品保處","S","overseas","INACTIVE",,,"","false","false","false","false","Marked '(無)'; literally no trace anywhere in the workbook."
"16004","生產本部","生產本部","P","domestic","PARENT_ONLY",,,"","false","false","false","false",
"16104","台灣廠","台灣廠","P","domestic","PARENT_ONLY","16004",,"","false","true","false","false","人工確認為上層彙總單位，不建立預算輸入表，不列入預算編製進度分母。"
"16114","生技部","生技部","P","domestic","BUDGET_OWNER","16104",,"生-生技","true","true","false","false",
"16124","生產部","生產部","P","domestic","BUDGET_OWNER","16104",,"生-生產;銷-生產部","true","true","true","false",
"16134","資材部","資材部","P","domestic","BUDGET_OWNER","16104",,"生-資材","true","true","false","false",
"16144","採購部","採購部","P","domestic","BUDGET_OWNER","16104",,"生-採購","true","true","false","false",
"16204","台灣廠品保處","台灣廠品保處","P","domestic","BUDGET_OWNER","16004",,"生-品保","true","true","true","false",
"3001","GWS(拋轉)","GWS","NEEDS_CONFIRMATION","unknown","INACTIVE",,,"","false","false","false","false","No genuine reference anywhere in the workbook; likely a legacy/carry-over code with no current budgeting role, but this cannot be asserted with full confidence from this source alone."
